,material,compatibility,chemical
0,,,"Plating Solutions,   Tin-Lead Plating 100°F"
1,ABS plastic,N/A,"Plating Solutions,   Tin-Lead Plating 100°F"
2,Acetal (Delrin®),N/A,"Plating Solutions,   Tin-Lead Plating 100°F"
3,Aluminum,N/A,"Plating Solutions,   Tin-Lead Plating 100°F"
4,Brass,N/A,"Plating Solutions,   Tin-Lead Plating 100°F"
5,Bronze,N/A,"Plating Solutions,   Tin-Lead Plating 100°F"
6,Buna N (Nitrile),B - Good,"Plating Solutions,   Tin-Lead Plating 100°F"
7,Carbon graphite,N/A,"Plating Solutions,   Tin-Lead Plating 100°F"
8,Carbon Steel,N/A,"Plating Solutions,   Tin-Lead Plating 100°F"
9,Carpenter 20,N/A,"Plating Solutions,   Tin-Lead Plating 100°F"
10,Cast iron,N/A,"Plating Solutions,   Tin-Lead Plating 100°F"
11,Ceramic Al203,N/A,"Plating Solutions,   Tin-Lead Plating 100°F"
12,Ceramic magnet,N/A,"Plating Solutions,   Tin-Lead Plating 100°F"
13,ChemRaz (FFKM),N/A,"Plating Solutions,   Tin-Lead Plating 100°F"
14,Copper,N/A,"Plating Solutions,   Tin-Lead Plating 100°F"
15,CPVC,A - Excellent,"Plating Solutions,   Tin-Lead Plating 100°F"
16,EPDM,N/A,"Plating Solutions,   Tin-Lead Plating 100°F"
17,Epoxy,A - Excellent,"Plating Solutions,   Tin-Lead Plating 100°F"
18,Fluorocarbon (FKM),N/A,"Plating Solutions,   Tin-Lead Plating 100°F"
19,Hastelloy-C®,A - Excellent,"Plating Solutions,   Tin-Lead Plating 100°F"
20,Hypalon®,N/A,"Plating Solutions,   Tin-Lead Plating 100°F"
21,Hytrel®,N/A,"Plating Solutions,   Tin-Lead Plating 100°F"
22,Kalrez,N/A,"Plating Solutions,   Tin-Lead Plating 100°F"
23,Kel-F®,N/A,"Plating Solutions,   Tin-Lead Plating 100°F"
24,LDPE,N/A,"Plating Solutions,   Tin-Lead Plating 100°F"
25,Natural rubber,N/A,"Plating Solutions,   Tin-Lead Plating 100°F"
26,Neoprene,C - Fair,"Plating Solutions,   Tin-Lead Plating 100°F"
27,NORYL®,A - Excellent,"Plating Solutions,   Tin-Lead Plating 100°F"
28,Nylon,D - Poor,"Plating Solutions,   Tin-Lead Plating 100°F"
29,Polycarbonate,N/A,"Plating Solutions,   Tin-Lead Plating 100°F"
30,Polyetherether Ketone (PEEK),N/A,"Plating Solutions,   Tin-Lead Plating 100°F"
31,Polypropylene,A - Excellent,"Plating Solutions,   Tin-Lead Plating 100°F"
32,Polyurethane,N/A,"Plating Solutions,   Tin-Lead Plating 100°F"
33,PPS (Ryton®),N/A,"Plating Solutions,   Tin-Lead Plating 100°F"
34,PTFE,A - Excellent,"Plating Solutions,   Tin-Lead Plating 100°F"
35,PVC,A - Excellent,"Plating Solutions,   Tin-Lead Plating 100°F"
36,PVDF (Kynar®),N/A,"Plating Solutions,   Tin-Lead Plating 100°F"
37,Silicone,N/A,"Plating Solutions,   Tin-Lead Plating 100°F"
38,stainless steel - 304,N/A,"Plating Solutions,   Tin-Lead Plating 100°F"
39,stainless steel - 316,C - Fair,"Plating Solutions,   Tin-Lead Plating 100°F"
40,Titanium,D - Poor,"Plating Solutions,   Tin-Lead Plating 100°F"
41,Tygon®,N/A,"Plating Solutions,   Tin-Lead Plating 100°F"
42,Viton®,A - Excellent,"Plating Solutions,   Tin-Lead Plating 100°F"
