,material,compatibility,chemical
0,,,"Plating Solutions,   Chromium Plating:    Black Chrome Bath 115°F"
1,ABS plastic,N/A,"Plating Solutions,   Chromium Plating:    Black Chrome Bath 115°F"
2,Acetal (Delrin®),D - Poor,"Plating Solutions,   Chromium Plating:    Black Chrome Bath 115°F"
3,Aluminum,A - Excellent,"Plating Solutions,   Chromium Plating:    Black Chrome Bath 115°F"
4,Brass,N/A,"Plating Solutions,   Chromium Plating:    Black Chrome Bath 115°F"
5,Bronze,N/A,"Plating Solutions,   Chromium Plating:    Black Chrome Bath 115°F"
6,Buna N (Nitrile),C - Fair,"Plating Solutions,   Chromium Plating:    Black Chrome Bath 115°F"
7,Carbon graphite,N/A,"Plating Solutions,   Chromium Plating:    Black Chrome Bath 115°F"
8,Carbon Steel,N/A,"Plating Solutions,   Chromium Plating:    Black Chrome Bath 115°F"
9,Carpenter 20,C - Fair,"Plating Solutions,   Chromium Plating:    Black Chrome Bath 115°F"
10,Cast iron,A - Excellent,"Plating Solutions,   Chromium Plating:    Black Chrome Bath 115°F"
11,Ceramic Al203,N/A,"Plating Solutions,   Chromium Plating:    Black Chrome Bath 115°F"
12,Ceramic magnet,N/A,"Plating Solutions,   Chromium Plating:    Black Chrome Bath 115°F"
13,ChemRaz (FFKM),N/A,"Plating Solutions,   Chromium Plating:    Black Chrome Bath 115°F"
14,Copper,N/A,"Plating Solutions,   Chromium Plating:    Black Chrome Bath 115°F"
15,CPVC,A - Excellent,"Plating Solutions,   Chromium Plating:    Black Chrome Bath 115°F"
16,EPDM,N/A,"Plating Solutions,   Chromium Plating:    Black Chrome Bath 115°F"
17,Epoxy,C - Fair,"Plating Solutions,   Chromium Plating:    Black Chrome Bath 115°F"
18,Fluorocarbon (FKM),N/A,"Plating Solutions,   Chromium Plating:    Black Chrome Bath 115°F"
19,Hastelloy-C®,D - Poor,"Plating Solutions,   Chromium Plating:    Black Chrome Bath 115°F"
20,Hypalon®,N/A,"Plating Solutions,   Chromium Plating:    Black Chrome Bath 115°F"
21,Hytrel®,N/A,"Plating Solutions,   Chromium Plating:    Black Chrome Bath 115°F"
22,Kalrez,A - Excellent,"Plating Solutions,   Chromium Plating:    Black Chrome Bath 115°F"
23,Kel-F®,N/A,"Plating Solutions,   Chromium Plating:    Black Chrome Bath 115°F"
24,LDPE,N/A,"Plating Solutions,   Chromium Plating:    Black Chrome Bath 115°F"
25,Natural rubber,N/A,"Plating Solutions,   Chromium Plating:    Black Chrome Bath 115°F"
26,Neoprene,D - Poor,"Plating Solutions,   Chromium Plating:    Black Chrome Bath 115°F"
27,NORYL®,D - Poor,"Plating Solutions,   Chromium Plating:    Black Chrome Bath 115°F"
28,Nylon,D - Poor,"Plating Solutions,   Chromium Plating:    Black Chrome Bath 115°F"
29,Polycarbonate,N/A,"Plating Solutions,   Chromium Plating:    Black Chrome Bath 115°F"
30,Polyetherether Ketone (PEEK),N/A,"Plating Solutions,   Chromium Plating:    Black Chrome Bath 115°F"
31,Polypropylene,A - Excellent,"Plating Solutions,   Chromium Plating:    Black Chrome Bath 115°F"
32,Polyurethane,N/A,"Plating Solutions,   Chromium Plating:    Black Chrome Bath 115°F"
33,PPS (Ryton®),N/A,"Plating Solutions,   Chromium Plating:    Black Chrome Bath 115°F"
34,PTFE,A - Excellent,"Plating Solutions,   Chromium Plating:    Black Chrome Bath 115°F"
35,PVC,A - Excellent,"Plating Solutions,   Chromium Plating:    Black Chrome Bath 115°F"
36,PVDF (Kynar®),C - Fair,"Plating Solutions,   Chromium Plating:    Black Chrome Bath 115°F"
37,Silicone,N/A,"Plating Solutions,   Chromium Plating:    Black Chrome Bath 115°F"
38,stainless steel - 304,N/A,"Plating Solutions,   Chromium Plating:    Black Chrome Bath 115°F"
39,stainless steel - 316,C - Fair,"Plating Solutions,   Chromium Plating:    Black Chrome Bath 115°F"
40,Titanium,A - Excellent,"Plating Solutions,   Chromium Plating:    Black Chrome Bath 115°F"
41,Tygon®,N/A,"Plating Solutions,   Chromium Plating:    Black Chrome Bath 115°F"
42,Viton®,C - Fair,"Plating Solutions,   Chromium Plating:    Black Chrome Bath 115°F"
